Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Sun T.T.,Baker L.,Sun T.T.,81,272,332,90,1.33,3,6-1 6-1 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Myskina A.,Dulko G.,Dulko G.,16,59,1000,401,1.22,3.75,1-6 7-6 2-6
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Loit E.,Birnerova E.,Loit E.,56,84,418,324,1.72,2,6-1 6-1 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Nakamura A.,Craybas J.,Craybas J.,57,70,405,365,1.83,1.83,5-7 2-6 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,Bartoli M.,18,180,951,152,1.16,4.5,7-6 6-3 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Perry S.,Pin C.,Pin C.,44,75,455,349,1.5,2.5,3-6 7-5 2-6
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Daniilidou E.,Kostanic J.,Daniilidou E.,36,51,538,422,1.36,2.87,6-3 4-6 6-1
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Tu M.,Erakovic M.,Erakovic M.,90,162,312,171,1.5,2.5,3-6 6-4 5-7
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Razzano V.,Kanepi K.,Razzano V.,88,78,319,343,1.83,1.83,7-6 6-1 
ASB Classic,2007-01-01 00:00:00,Outdoor,Hard,1st Round,3,Johansson M.,Laine E.,Laine E.,140,74,204,349,2.37,1.53,6-7 1-6 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,Meusburger Y.,135,76,210,345,1.72,2,7-5 6-0 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Muller M.,Suarez P.,Suarez P.,34,178,545,155,2.25,1.57,6-3 1-6 1-6
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Hantuchova D.,Cibulkova D.,Hantuchova D.,17,153,986,181,1.28,3.25,6-1 3-6 6-2
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Oprandi R.,Granville L.,Granville L.,53,68,421,372,2.1,1.66,3-6 4-6 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,Zvonareva V.,24,118,781,258,1.14,5,5-7 6-2 6-3
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,1st Round,3,Schruff J.,Jankovic J.,Jankovic J.,82,12,326,1211,5.5,1.12,3-6 4-6 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,Craybas J.,70,59,365,401,1.72,2,6-3 7-5 
ASB Classic,2007-01-02 00:00:00,Outdoor,Hard,2nd Round,3,Bartoli M.,Loit E.,Loit E.,18,56,951,418,1.28,3.25,5-7 4-6 
ASB Classic,2007-01-03 00:00:00,Outdoor,Hard,2nd Round,3,Suarez P.,Sun T.T.,Suarez P.,178,81,155,332,1.53,2.37,7-5 6-4 
